station_id,tile_id,country,river,station,latitude,longitude,area,reference.db,reference.no,metadata_country,metadata_river,metadata_station,metadata_latitude,metadata_longitude,metadata_area,characteristics_quality,characteristics_latitude,characteristics_longitude,characteristics_area_est,characteristics_dist_km,metadata_joined,characteristics_joined,catchment_shapefile_exists,point_geometry_available,basin_geometry_available,geometry_readiness,geometry_source
us_0005664,N35_W100,US,NEOSHO RIVER,"NEAR CHOUTEAU, OK",36.2295379,-95.182741,11580.0,usgs,7191500,US,NEOSHO RIVER,"NEAR CHOUTEAU, OK",36.2295379,-95.182741,11580.0,High,36.2312,-95.1854,30234.31,0.3015,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005679,N35_W100,US,ILLINOIS RIVER,"NEAR GORE, OK",35.5731511,-95.0688458,1615.0,usgs,7198000,US,ILLINOIS RIVER,"NEAR GORE, OK",35.5731511,-95.0688458,1615.0,High,35.5729,-95.0688,4177.651,0.0282,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005706,N35_W100,US,LITTLE RIVER,"BELOW LK THUNDERBIRD NEAR NORMAN, OK",35.22173637,-97.2139165,257.0,usgs,7230000,US,LITTLE RIVER,"BELOW LK THUNDERBIRD NEAR NORMAN, OK",35.22173637,-97.2139165,257.0,High,35.2229,-97.2146,662.3058,0.1434,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005707,N35_W100,US,LITTLE RIVER,"NEAR TECUMSEH, OK",35.17257416,-96.9319662,463.0,usgs,7230500,US,LITTLE RIVER,"NEAR TECUMSEH, OK",35.17257416,-96.9319662,463.0,High,35.1771,-96.9313,1199.284,0.5066,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005719,N35_W100,US,WOLF CREEK,"NEAR FORT SUPPLY, OK",36.5667017,-99.5517805,1498.0,usgs,7237000,US,WOLF CREEK,"NEAR FORT SUPPLY, OK",36.5667017,-99.5517805,1498.0,Low,36.5604,-99.5521,4937.704,0.7009,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005721,N35_W100,US,NORTH CANADIAN RIVER,"NEAR SEILING, OK",36.18337277,-98.9212057,9058.0,usgs,7238000,US,NORTH CANADIAN RIVER,"NEAR SEILING, OK",36.18337277,-98.9212057,9058.0,Low,36.1812,-98.9229,32925.86,0.2853,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005722,N35_W100,US,NORTH CANADIAN RIVER,"AT CANTON, OK",36.07698408,-98.59675,9289.0,usgs,7239000,US,NORTH CANADIAN RIVER,"AT CANTON, OK",36.07698408,-98.59675,9289.0,Low,36.0771,-98.5938,33539.18,0.2653,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005723,N35_W100,US,NORTH CANADIAN RIVER,"BELOW WEAVERS CREEK NEAR WATONGA, OK",35.8119886,-98.4209053,9526.0,usgs,7239300,US,NORTH CANADIAN RIVER,"BELOW WEAVERS CREEK NEAR WATONGA, OK",35.8119886,-98.4209053,9526.0,Low,35.8146,-98.4229,34247.42,0.3414,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005727,N35_W100,US,NORTH CANADIAN RIVER,"BELOW LK OVERHOLSER NEAR OKC, OK",35.47866848,-97.6633752,9996.0,usgs,7241000,US,NORTH CANADIAN RIVER,"BELOW LK OVERHOLSER NEAR OKC, OK",35.47866848,-97.6633752,9996.0,Low,35.4812,-97.6688,35601.6,0.5658,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005729,N35_W100,US,NORTH CANADIAN RIVER,"NEAR HARRAH, OK",35.5003412,-97.1939194,10278.0,usgs,7241550,US,NORTH CANADIAN RIVER,"NEAR HARRAH, OK",35.5003412,-97.1939194,10278.0,Low,35.5021,-97.1938,36311.84,0.1957,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005731,N35_W100,US,NORTH CANADIAN RIVER,"NEAR WETUMKA, OK",35.2656454,-96.2061167,11052.0,usgs,7242000,US,NORTH CANADIAN RIVER,"NEAR WETUMKA, OK",35.2656454,-96.2061167,11052.0,Low,35.2646,-96.2063,38385.26,0.1174,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
