response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.05,-0.0020661157024793,support_ok,130,62790,9482,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.01,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.1,-0.0020661157024793,support_ok,130,62790,9482,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.02,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.15,0.0475206611570247,support_ok,130,62790,9482,100,100,-0.0020661157024793,0.0475206611570247,0.1177685950413223,0.91,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.05,-0.0020661157024793,support_ok,130,62790,6364,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.01,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.1,0.1177685950413223,support_ok,130,62790,6364,100,100,0.0553719008264462,0.1177685950413223,0.1962809917355372,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.15,0.5268595041322315,support_ok,130,62790,6364,100,100,0.4731404958677686,0.5278925619834711,0.6054752066115703,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.05,-0.0020661157024793,support_ok,130,62790,4805,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.1,0.4462809917355372,support_ok,130,62790,4805,100,100,0.3965909090909091,0.4555785123966942,0.5375,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.15,0.7747933884297521,support_ok,130,62790,4805,100,100,0.6879132231404959,0.78099173553719,0.8389462809917355,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.05,0.1776859504132231,support_ok,130,62790,3246,100,100,0.0681818181818181,0.1683884297520661,0.2381198347107437,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.1,0.7541322314049587,support_ok,130,62790,3246,100,100,0.6734504132231406,0.731404958677686,0.8307851239669422,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.15,0.6363636363636365,support_ok,130,62790,3246,100,90,0.5133264462809918,0.6043388429752066,0.7006198347107438,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.05,0.7148760330578513,support_ok,130,62790,1687,100,100,0.6735537190082646,0.7262396694214877,0.8002066115702479,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.1,0.4442148760330577,support_ok,130,62790,1687,100,58,0.3629132231404959,0.4349173553719008,0.5171487603305784,1.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.15,,invalid_lambda,130,62790,1687,100,1,,,,,ci_support_limited
