null_family,draw,statistic,value
within_source_target_permutation,33,lag_family_full_r2,0.4896057010145257
source_block_target_permutation,33,lag_family_full_r2,0.30217477343850874
lag_covariance_surrogate_features,33,lag_family_full_r2,0.2596357551439017
within_source_target_permutation,33,xi_star_r2,0.001004248771512839
within_source_target_permutation,34,lag_family_full_r2,0.41472929346164966
source_block_target_permutation,34,lag_family_full_r2,0.5488826666663537
lag_covariance_surrogate_features,34,lag_family_full_r2,0.23443000793593705
within_source_target_permutation,34,xi_star_r2,0.000671651609154722
within_source_target_permutation,35,lag_family_full_r2,0.4643883800481252
source_block_target_permutation,35,lag_family_full_r2,0.22033303170985397
lag_covariance_surrogate_features,35,lag_family_full_r2,0.13757080992186943
within_source_target_permutation,35,xi_star_r2,0.08161606572809865
within_source_target_permutation,36,lag_family_full_r2,0.4880511714064133
source_block_target_permutation,36,lag_family_full_r2,0.4036431893947279
lag_covariance_surrogate_features,36,lag_family_full_r2,0.1615283580804765
within_source_target_permutation,36,xi_star_r2,0.06857607977722202
within_source_target_permutation,37,lag_family_full_r2,0.4932682457235501
source_block_target_permutation,37,lag_family_full_r2,0.08733914808361609
lag_covariance_surrogate_features,37,lag_family_full_r2,0.12091165586104335
within_source_target_permutation,37,xi_star_r2,0.021743781610139234
within_source_target_permutation,38,lag_family_full_r2,0.43128813845481406
source_block_target_permutation,38,lag_family_full_r2,0.5317783124136537
lag_covariance_surrogate_features,38,lag_family_full_r2,0.2169499387171332
within_source_target_permutation,38,xi_star_r2,0.06524314021694366
within_source_target_permutation,39,lag_family_full_r2,0.5141765302291832
source_block_target_permutation,39,lag_family_full_r2,0.27256564183155696
lag_covariance_surrogate_features,39,lag_family_full_r2,0.05577783357910493
within_source_target_permutation,39,xi_star_r2,0.05088941889688192
within_source_target_permutation,40,lag_family_full_r2,0.6216979430431135
source_block_target_permutation,40,lag_family_full_r2,0.27547534432676135
lag_covariance_surrogate_features,40,lag_family_full_r2,0.04809161032250564
within_source_target_permutation,40,xi_star_r2,0.050906964450546544
within_source_target_permutation,41,lag_family_full_r2,0.5107639113719612
source_block_target_permutation,41,lag_family_full_r2,0.1918269753268147
lag_covariance_surrogate_features,41,lag_family_full_r2,0.2695270092315416
within_source_target_permutation,41,xi_star_r2,0.07512761901894549
within_source_target_permutation,42,lag_family_full_r2,0.5587433213517922
