station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1160419,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MOORDKUILRIVIER,BANFF,-34.03944444,22.13222222,198.0,True,False,station_point_only
1160430,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KNYSNARIVIER,MILWOOD FOREST RES. (27692502),-33.89111111,23.02944444,135.0,True,False,station_point_only
1160441,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KEURBOOMSRIVIER,MKAMA (27692401),-33.80361111,23.13527778,162.0,True,False,station_point_only
1160460,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GROOTRIVIER,GROOTRIVIERSPOORT (27691206),-33.731,24.61794444,29571.0,True,False,station_point_only
1160493,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,SONDAGSRIVIER,DE DRAAY,-33.09930556,25.0115,13422.0,True,False,station_point_only
1160500,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BOESMANSRIVIER,DONKER HOEK ALICEDALE,-33.32941667,26.07775,1479.0,True,False,station_point_only
1160505,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KARIEGARIVIER,SMITHFIELD,-33.55230556,26.60180556,588.0,True,False,station_point_only
1160510,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GREAT FISH RIVER,BRANDT LEGTE PIGGOT'S BRIDGE,-33.09825,26.44475,23067.0,True,False,station_point_only
1160512,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GREAT FISH RIVER,ZOUTPANSDRIFT (27673802),-31.90422222,25.43061111,1717.0,True,False,station_point_only
1160520,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TEEBUSRIVIER,JAN BLAAUWS KOP (27673912),-31.57002778,25.54388889,1565.0,True,False,station_point_only
1160523,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KLEIN-BRAKRIVIER,ZEEVEN FONTEIN,-31.7775,25.3175,2445.0,True,False,station_point_only
1160525,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,PAULSRIVIER,COUTZENBURG (27673704),-32.03545836,25.52111611,878.0,True,False,station_point_only
1160527,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KLEIN-VISRIVIER,DOORN KRAAL,-32.785,25.61483333,1512.0,True,False,station_point_only
1160528,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GREAT FISH RIVER,RIETFONTYN,-32.08583333,25.57583333,10830.0,True,False,station_point_only
1160529,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TARKARIVIER,BRIDGE FARM,-32.31419444,25.74111111,4742.0,True,False,station_point_only
1160530,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BAVIAANSRIVIER,BOTMANSGAT (27673403),-32.60586111,25.88461111,806.0,True,False,station_point_only
1160533,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GREAT FISH RIVER,SOUT VLEIJ,-33.02763889,25.89330556,19130.0,True,False,station_point_only
1160545,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KOWIE RIVER,BATHURST (27681101),-33.50677778,26.74444444,575.0,True,False,station_point_only
1160580,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GREAT FISH RIVER,MATOLEMA'S LOCATION OUTSPAN,-33.23780556,26.99486111,29745.0,True,False,station_point_only
1160600,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KEISKAMMARIVIER,FARM 7,-33.18536111,27.39075,2530.0,True,False,station_point_only
1160610,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MGQAKWEBE,MSENGE RIDGE (27672206),-32.85841667,27.37072222,121.0,True,False,station_point_only
1160611,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MGQAKWEBE,SHESHEGU (27672209),-32.91544444,27.38633333,103.0,True,False,station_point_only
1160625,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BLINKWATERRIVIER,BLINKWATER (27673117),-32.70211111,26.57594444,228.0,True,False,station_point_only
