response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.95,0.1,0.8326446280991736,support_ok,130,21450,1002,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.95,0.15,,invalid_lambda,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.975,0.05,0.7933884297520661,support_ok,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.975,0.1,,invalid_lambda,130,21450,500,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.975,0.15,,invalid_lambda,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.8,0.05,-0.006198347107438,support_ok,130,21450,4060,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.8,0.1,-0.006198347107438,support_ok,130,21450,4060,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.8,0.15,0.1487603305785124,support_ok,130,21450,4060,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.85,0.05,-0.006198347107438,support_ok,130,21450,3048,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.85,0.1,0.0516528925619834,support_ok,130,21450,3048,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.85,0.15,0.5103305785123967,support_ok,130,21450,3048,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.9,0.05,-0.006198347107438,support_ok,130,21450,2039,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.9,0.1,0.5599173553719008,support_ok,130,21450,2039,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,2010-2024,raw_state,0.9,0.15,0.8409090909090909,support_ok,130,21450,2039,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.925,0.05,0.1776859504132231,support_ok,130,21450,1526,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.925,0.1,0.7975206611570248,support_ok,130,21450,1526,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,2010-2024,raw_state,0.925,0.15,0.9235537190082644,support_ok,130,21450,1526,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,2010-2024,raw_state,0.95,0.05,0.5702479338842975,support_ok,130,21450,1054,100,0,,,,,ci_not_run_by_scope
