gauge_id,source_family,precip_column,state_column,complete_days,analysis_rows,event_count,date_min,date_max,mi_state,delta_i_over_persistence,rho1,acf_mean,entropy_rate_proxy,rho_lag_1,rho_lag_2,rho_lag_3,rho_lag_7,rho_lag_14,rho_lag_30,xi_star_shuffle_joint,xi_star_block_shuffle_joint,xi_star_phase_randomized_components,xi_star_ar1_q_only,transition_active_states,transition_state_count,transition_weight_entropy,transition_max_weight,aridity,seasonality,frac_snow,area
camelsbr_11500000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,13762,13761,1380,1980-01-01,2018-11-30,0.0123235894172689,0.004948985468222,0.998996849210082,0.9394739230883314,1.0000000063464256,0.998996849210082,0.9970001188890198,0.9940810044227378,0.9746479412550014,0.9200924152511764,0.752025209501971,2.807348226619085,0.4783437365614824,0.5421413386392301,1.758604952523692,59,64,5.602594787475512,0.0552587081501521,1.2547163343555263,0.6710657882183173,0.0,1142072.810965076
camelsbr_12370000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,11504,11503,1157,1981-04-13,2016-05-22,0.0941109293424568,0.0134526776022284,0.973344061981416,0.8338922416882516,0.9999999872774368,0.973344061981416,0.930287337831218,0.8943823656854035,0.8209452349247954,0.751061255155757,0.6333331945509202,1.93205568192543,0.7093617989022145,0.9111894268002264,1.7007562453799292,57,64,5.31404908317354,0.0870918815358824,2.1825633284020585,0.7110143110027447,0.0,16233.247759871876
camelsbr_12500000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,11875,11874,1193,1980-01-01,2016-05-17,0.0542857711699634,0.0005242406148492,0.9950098344926808,0.8969539139596696,1.0000000051127886,0.9950098344926808,0.9843314860456378,0.9707651546912412,0.9128023535296586,0.8250859491613519,0.6937287058374476,2.1280254166832298,0.6183841092096555,0.7635433344126277,1.4889602193290974,59,64,5.4010147527422045,0.0856721972398821,2.060912498965352,0.7110214592329238,0.0,38092.91379861183
camelsbr_12520000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,10974,10973,1119,1981-10-10,2012-04-30,0.0485491318870482,0.0009335689809801,0.998509998800076,0.934311950164176,0.9999999940058004,0.998509998800076,0.9948392302149592,0.9895430691495982,0.9596605292368492,0.8981953687411605,0.7651235048424132,2.218870149120989,0.6288330647989032,0.702000916791929,1.4798955864442345,60,64,5.423554693342042,0.0861048595482203,2.031498079328529,0.6911202575305098,0.0,55719.917062071
camelsbr_12700000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12745,12744,1293,1981-04-16,2018-11-30,0.0526995084152831,0.0018416420624637,0.998855313237154,0.9532857066565972,1.0000000103603282,0.998855313237154,0.9970175386321872,0.9945595283122632,0.9799169984238524,0.9412804022507144,0.8080844590834124,2.403898331396461,0.5882657698755055,0.7558891847467143,1.6664146305715322,55,64,5.368438483661109,0.0794596165020337,2.052344467663123,0.7122685911906976,0.0,144044.0569111606
camelsbr_13150000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,13564,13563,1411,1980-01-01,2017-12-31,0.0105554771766704,0.0019354182625012,0.9996182309914208,0.9578639565411882,1.000000001304989,0.9996182309914208,0.99872999362076,0.9973395337032048,0.9869241864626996,0.9519515436659348,0.8126202508031091,2.838818278714872,0.4722848772403951,0.4946767691808322,1.7392952080037798,60,64,5.625900119188747,0.0555288955919654,1.3242542654458065,0.6436609162298863,0.0,1783025.4553468144
camelscl_1001001,camelscl,total_precipitation_sum,volumetric_soil_water_layer_1_mean,7288,7287,758,1976-07-21,2004-05-25,0.0854954084880082,0.0215331191563077,0.9848293002963092,0.8612235116010086,0.999999968293885,0.9848293002963092,0.9630443943285208,0.942021387338361,0.8712119958136756,0.7719086461381344,0.6343253456910508,2.8965117713515203,0.436692870863807,0.8176569261352137,2.1807438943175064,64,64,5.5747050807398315,0.0926482974371315,1.555784752552845,1.438802921173115,0.0,49.91011886596283
camelscl_1001002,camelscl,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12040,12039,1228,1981-01-01,2019-12-31,0.1669010338668168,0.0652754430825433,0.9596719285885872,0.7811657409056677,0.9999999883851752,0.9596719285885872,0.9126914790411232,0.8762557378244348,0.7773876642976448,0.6686672139404662,0.4923204217417499,2.8548794609863832,0.4583673646717361,1.01586814706539,2.548900182525679,62,64,5.475658591134956,0.105794993493072,1.5396909775380043,1.410256062340935,0.0,469.6306008318117
camelscl_1001003,camelscl,total_precipitation_sum,volumetric_soil_water_layer_1_mean,9322,9321,965,1988-06-16,2019-06-30,0.1749209595876399,0.0536343947925773,0.9801643069418234,0.8699484395484687,1.0000000138301226,0.9801643069418234,0.9568306362007436,0.9349457885298436,0.8685728892976597,0.7984218501486811,0.6807551661720608,2.8863541872350713,0.4380733147416429,0.9212385152683248,2.3742709920148957,64,64,5.473841658867187,0.1035282745287578,1.4853475635735316,1.435878533291782,0.0,199.700425981312
camelscl_10100002,camelscl,total_precipitation_sum,volumetric_soil_water_layer_1_mean,5773,5772,584,2003-02-14,2019-06-30,0.0559070059171011,0.0029138682933154,0.9952118719208592,0.8867517360864284,0.999999992757764,0.9952118719208592,0.9854862209849018,0.9733083501546816,0.9165875214974336,0.8187697633502936,0.6311466886104004,2.395436329479255,0.4317171609941408,0.5006260399338812,1.5471737811945447,64,64,5.698555393367277,0.0506180105944673,2.051827809585767,1.6915092210717435,0.1393578893777365,1496.3363230470484
